synnex,tim hortons,sunrise senior living
netlist,lendingclub,cutera
vera bradley,avalon holdings,andeavor
new relic,diagnostics,first financial northwest
wet seal,blue bird,shutterstock
video display,superior energy services,national retail properties
uranium energy,tg therapeutics,fuel tech
fti consulting,city national,myokardia
edison international,lear,starwood waypoint homes
pivotal software,martin marietta materials,summit materials
twenty first century fox,dte energy,granite construction
hostess brands,agl resources,sterling construction
spx,murphy usa,supernus pharmaceuticals
life storage,agco,agree realty
valspar,first solar,hooker furniture
us concrete,virtus investment partners,omnicom group
american outdoor brands,blackhawk network holdings,insmed
qad,neustar,hci group
sinclair broadcast group,redwood trust,shire plc
sunpower,sl green realty,lattice semiconductor
smiledirectclub,avon products,medallion financial
hexo,antero resources,ubiquiti
centerpoint energy,central pacific financial,cohu
nextera energy,catamaran,hollyfrontier
